,smape_cnn,smape_lstm,smape_convlstm,rmse_cnn,rmse_lstm,rmse_convlstm,rmse_unet
0,1.802605757636454,1.909031932967899,2.8059335497953395,0.5168139934539795,0.5222885608673096,0.5757426619529724,0.40618523955345154
1,1.8770717362169393,1.9450443712819427,4.202583240084251,0.5350209474563599,0.529849112033844,0.748477578163147,0.5280493497848511
2,1.811919295048973,2.1026722015711137,2.111917137956497,0.5136817693710327,0.5484464764595032,0.5360420346260071,0.3781765401363373
3,1.8045521123601111,1.9574992099459072,2.7586845703544896,0.47574469447135925,0.5036061406135559,0.5130996704101562,0.36199072003364563
4,1.8080784558555323,1.9522019741996077,1.9449735498986123,0.515570878982544,0.4997517764568329,0.5535125136375427,0.3905019164085388
5,1.8019990734847051,1.9346606203337855,4.920717939535978,0.5195328593254089,0.5415921211242676,0.578896164894104,0.4084100127220154
6,1.8196335109481019,1.9526037096743936,1.9216584905949587,0.48697108030319214,0.5031333565711975,0.5144952535629272,0.3629753291606903
7,1.7448123364626131,1.969800422558593,1.910221395351111,0.4948727786540985,0.5014549493789673,0.5090017318725586,0.3590996563434601
8,1.8119185805342535,1.9198820425573662,3.084921956651609,0.49312716722488403,0.502149224281311,0.585404098033905,0.4130013585090637
9,1.7862790659369954,1.9925015847419014,3.6997376502142214,0.5002481937408447,0.5091781616210938,1.2903119325637817,0.9103123545646667
